"id","space_id","device_info_id","created_at","updated_at"
"2004","167","14","28/3/2019 16:36:19","28/3/2019 16:36:19"
"2005","167","15","28/3/2019 16:36:19","28/3/2019 16:36:19"
"2006","113","2","29/3/2019 17:50:56","29/3/2019 17:50:56"
"2007","113","9","29/3/2019 17:50:56","29/3/2019 17:50:56"
"2008","113","14","29/3/2019 17:50:56","29/3/2019 17:50:56"
"2009","113","15","29/3/2019 17:50:56","29/3/2019 17:50:56"
"2010","112","2","29/3/2019 17:51:22","29/3/2019 17:51:22"
"2011","112","14","29/3/2019 17:51:22","29/3/2019 17:51:22"
"2012","112","15","29/3/2019 17:51:22","29/3/2019 17:51:22"
"2013","110","2","29/3/2019 17:52:02","29/3/2019 17:52:02"
"2014","110","14","29/3/2019 17:52:02","29/3/2019 17:52:02"
"2015","110","15","29/3/2019 17:52:02","29/3/2019 17:52:02"
"2016","111","2","29/3/2019 17:52:05","29/3/2019 17:52:05"
"2017","111","9","29/3/2019 17:52:05","29/3/2019 17:52:05"
"2018","111","14","29/3/2019 17:52:05","29/3/2019 17:52:05"
"2019","111","15","29/3/2019 17:52:05","29/3/2019 17:52:05"
"2020","114","2","29/3/2019 17:52:09","29/3/2019 17:52:09"
"2021","114","9","29/3/2019 17:52:09","29/3/2019 17:52:09"
"2022","114","14","29/3/2019 17:52:09","29/3/2019 17:52:09"
"2023","114","15","29/3/2019 17:52:09","29/3/2019 17:52:09"
"2024","115","2","29/3/2019 17:52:14","29/3/2019 17:52:14"
"2025","115","14","29/3/2019 17:52:14","29/3/2019 17:52:14"
"2026","115","15","29/3/2019 17:52:14","29/3/2019 17:52:14"
"2027","116","2","29/3/2019 17:52:18","29/3/2019 17:52:18"
"2028","116","14","29/3/2019 17:52:18","29/3/2019 17:52:18"
"2029","116","15","29/3/2019 17:52:18","29/3/2019 17:52:18"
"2030","117","2","29/3/2019 17:52:24","29/3/2019 17:52:24"
"2031","117","14","29/3/2019 17:52:24","29/3/2019 17:52:24"
"2032","117","15","29/3/2019 17:52:24","29/3/2019 17:52:24"
"2033","118","2","29/3/2019 17:52:27","29/3/2019 17:52:27"
"2034","118","13","29/3/2019 17:52:27","29/3/2019 17:52:27"
"2035","118","14","29/3/2019 17:52:27","29/3/2019 17:52:27"
"2036","118","15","29/3/2019 17:52:27","29/3/2019 17:52:27"
"2037","119","2","29/3/2019 17:52:31","29/3/2019 17:52:31"
"2038","119","14","29/3/2019 17:52:31","29/3/2019 17:52:31"
"2039","119","15","29/3/2019 17:52:31","29/3/2019 17:52:31"
"2040","149","2","12/4/2019 13:53:37","12/4/2019 13:53:37"
"2041","149","9","12/4/2019 13:53:37","12/4/2019 13:53:37"
"2042","149","14","12/4/2019 13:53:37","12/4/2019 13:53:37"
"2043","149","15","12/4/2019 13:53:37","12/4/2019 13:53:37"
"2044","150","2","12/4/2019 13:53:42","12/4/2019 13:53:42"
"2045","150","9","12/4/2019 13:53:42","12/4/2019 13:53:42"
"2046","150","14","12/4/2019 13:53:42","12/4/2019 13:53:42"
"2047","150","15","12/4/2019 13:53:42","12/4/2019 13:53:42"
"2048","151","2","12/4/2019 13:54:14","12/4/2019 13:54:14"
"2049","151","14","12/4/2019 13:54:14","12/4/2019 13:54:14"
"2050","151","15","12/4/2019 13:54:14","12/4/2019 13:54:14"
"2051","151","16","12/4/2019 13:54:14","12/4/2019 13:54:14"
"2052","152","2","12/4/2019 13:54:17","12/4/2019 13:54:17"
"2053","152","14","12/4/2019 13:54:17","12/4/2019 13:54:17"
"2054","152","15","12/4/2019 13:54:17","12/4/2019 13:54:17"
"2055","153","2","12/4/2019 13:54:21","12/4/2019 13:54:21"
"2056","153","9","12/4/2019 13:54:21","12/4/2019 13:54:21"
"2057","153","14","12/4/2019 13:54:21","12/4/2019 13:54:21"
"2058","153","15","12/4/2019 13:54:21","12/4/2019 13:54:21"
"2059","154","2","12/4/2019 13:54:27","12/4/2019 13:54:27"
"2060","154","14","12/4/2019 13:54:27","12/4/2019 13:54:27"
"2061","154","15","12/4/2019 13:54:27","12/4/2019 13:54:27"
"2062","154","16","12/4/2019 13:54:27","12/4/2019 13:54:27"
"2063","155","2","12/4/2019 13:54:31","12/4/2019 13:54:31"
"2064","155","14","12/4/2019 13:54:31","12/4/2019 13:54:31"
"2065","155","15","12/4/2019 13:54:31","12/4/2019 13:54:31"
"2066","155","16","12/4/2019 13:54:31","12/4/2019 13:54:31"
"2067","156","2","12/4/2019 13:54:35","12/4/2019 13:54:35"
"2068","156","14","12/4/2019 13:54:35","12/4/2019 13:54:35"
"2069","156","15","12/4/2019 13:54:35","12/4/2019 13:54:35"
"2070","157","2","12/4/2019 13:54:46","12/4/2019 13:54:46"
"2071","157","9","12/4/2019 13:54:46","12/4/2019 13:54:46"
"2072","157","14","12/4/2019 13:54:46","12/4/2019 13:54:46"
"2073","157","15","12/4/2019 13:54:46","12/4/2019 13:54:46"
"2074","158","2","12/4/2019 13:54:48","12/4/2019 13:54:48"
"2075","158","9","12/4/2019 13:54:48","12/4/2019 13:54:48"
"2076","158","14","12/4/2019 13:54:48","12/4/2019 13:54:48"
"2077","158","15","12/4/2019 13:54:48","12/4/2019 13:54:48"
"2078","159","2","12/4/2019 13:54:51","12/4/2019 13:54:51"
"2079","159","9","12/4/2019 13:54:51","12/4/2019 13:54:51"
"2080","159","14","12/4/2019 13:54:52","12/4/2019 13:54:52"
"2081","159","15","12/4/2019 13:54:52","12/4/2019 13:54:52"
"2082","160","2","12/4/2019 13:54:54","12/4/2019 13:54:54"
"2083","160","14","12/4/2019 13:54:54","12/4/2019 13:54:54"
"2084","160","15","12/4/2019 13:54:54","12/4/2019 13:54:54"
"2085","161","2","12/4/2019 13:54:58","12/4/2019 13:54:58"
